EUPONT_ID;BNO_ID
99294;42823
99294;42825
99294;42838
99294;42840
99294;42845
99294;42865
99294;42873
99294;42875
99294;43681
99294;43693
99294;43697
99294;43711
99294;43720
99294;43726
99294;43733
99294;43745
99294;43747
99294;43748
99294;43759
99294;43761
99294;53577
99427;39745
99427;39750
99427;41079
99427;41087
99427;41093
99427;41097
99427;41107
99428;39747
99428;41087
99428;41092
99428;41098
99428;41101
99429;41078
99429;41079
99429;41088
99429;41093
99429;41097
99429;41106
99429;41107
99430;32651
99431;40411
99431;40420
99431;40421
99431;40427
99432;40416
99434;34184
99434;38615
99435;39283
99435;53763
99436;42800
99436;40957
99436;40958
99436;40962
99436;40967
99436;40976
99436;40981
99436;40986
99436;40989
99436;40990
99436;40995
99436;40996
99436;41004
99436;41009
99436;41013
99436;41026
99436;41035
99436;41861
99436;41866
99436;41875
99436;41879
99436;41905
99436;41908
99436;41914
99436;41915
99436;41922
99436;41939
99436;42795
99436;42801
99436;42820
99436;42822
99436;42826
99436;42838
99436;42842
99436;42852
99436;42853
99436;42871
99436;43671
99436;43673
99436;43696
99437;42003
99439;42897
99441;42062
99443;43047
99443;43062
99444;43055
99446;33972
99447;33970
99461;39747
99461;39748
99461;41097
99467;33923
99467;33925
99467;38367
99467;38455
99467;53660
99472;43117
99473;43157
99478;40274
99483;41978
99483;41980
99483;43116
99485;36870
99488;41969
99489;32643
99493;36870
99493;40295
99494;40295
99495;38217
99495;40295
99502;42893
99502;42895
99502;42899
99502;42914
99502;42923
99502;42937
99502;42956
99502;42957
99503;42900
99503;42919
99503;42929
99503;42938
99504;42900
99504;42880
99504;42894
99504;42896
99504;42903
99504;42910
99504;42932
99504;42936
99504;42938
99504;42943
99504;42945
99504;42961
99504;42966
99505;42888
99505;42896
99506;42880
99506;42898
99507;42892
99509;32612
99509;32634
99509;32650
99509;32652
99509;32658
99509;32659
99509;32669
99509;32677
98797;40994
98797;41010
98797;41011
98797;41014
98797;41036
98797;41868
98797;41884
98797;41886
98797;41889
98797;41892
98797;41895
98797;41903
98797;41904
98797;41905
98797;41924
98797;41933
98797;41936
98797;41939
98797;42804
98797;42806
98797;42811
98797;42813
98797;42814
98797;42820
98797;42824
98797;42829
98797;42831
98797;42837
98797;42838
98797;42839
98797;42851
98797;42869
98797;43671
98797;43674
98797;43682
98797;43695
98797;43703
98797;43723
98797;43733
98797;43734
98797;43749
98797;43754
98798;32507
98798;32522
98798;32531
98798;32538
98798;32546
98798;32554
98798;32578
98798;32583
98798;32597
98798;32602
98798;33506
98798;33539
98798;33545
98798;33547
98798;33554
98798;33555
98798;33557
98798;33561
98798;33591
98798;33602
98798;33618
98798;33627
98798;34478
98798;34482
98798;34483
98798;34491
98798;34504
98798;34514
98798;34521
98798;34529
98798;34535
98798;34546
98798;34566
98798;34569
98798;38093
98798;38101
98798;38102
98798;38127
98798;38138
98798;38144
98798;38153
98798;38158
98798;38163
98798;38174
98798;38177
98798;38182
98798;38187
98798;38190
98798;39054
98798;39056
98798;40959
98798;40962
98798;40969
98798;40971
98798;40974
98798;40976
98798;40980
98798;40986
98798;41015
98798;41874
98798;41879
98798;41880
98798;41882
98798;41883
98798;41911
98798;41919
98798;41923
98798;41934
98798;42799
98798;42810
98798;42812
98798;42817
98798;42818
98798;42827
98798;42860
98798;43669
98798;43695
98798;43697
98798;43699
98798;43723
98798;43740
98798;43741
98798;43744
98798;43746
98798;43750
98799;42800
98799;43700
98799;32516
98799;32517
