EUPONT_ID;GYOGYSZ_ID
99529;61829534
98804;61827164
99513;61806993
98790;61829597
99516;61806903
103104;61810069
103061;61841891
100975;61842788
98797;61840460
103078;61818508
99526;61814291
98798;61806687
98808;61842796
98956;61814360
103062;61837271
98904;61844688
99903;61842938
103103;61846573
99465;61841384
98798;61806570
99452;61809017
99919;61833141
98808;61844626
103106;61827425
99437;61808044
99529;61846096
103104;61806637
99449;61824571
103061;61840542
100975;61844149
98909;61807137
98833;61816964
99432;61808713
99294;61834862
98949;61807257
98813;61815429
98815;61808926
99920;61837590
99465;61824573
103101;61824257
103104;61817078
103074;61840704
100974;61838293
99465;61843998
98808;61827895
101920;61807454
100974;61838296
103086;61835948
99449;61822358
99533;61819927
103057;61808178
99512;61817062
99465;61834832
103101;61815768
99498;61818636
99517;61818419
98876;61829623
98986;61817197
99465;61841677
98809;61808907
98820;61838432
103078;61806476
99513;61806380
100974;61845854
103078;61808692
99449;61824570
99428;61835083
98808;61808009
99457;61825910
101394;61806346
103106;61840230
99449;61836117
99473;61807877
103078;61807554
99851;61807145
99513;61807941
99910;61841854
99502;61807609
99496;61808497
99507;61807685
99465;61840766
99498;61819471
100974;61828288
98993;61825455
103074;61840466
103102;61828222
99484;61822079
103091;61827127
99507;61817029
99528;61835538
99513;61807501
99906;61826224
99515;61808320
100974;61826720
103086;61835952
103102;61826216
99906;61837105
101920;61807455
99909;61826809
101920;61833611
99910;61840544
103104;61840056
103061;61836863
103101;61824067
99465;61809544
103104;61838130
103089;61835786
99498;61835270
100970;61834959
103057;61806900
99461;61807798
99910;61836808
101919;61845300
103081;61844571
99459;61807797
98790;61807478
99502;61807199
100974;61838302
103103;61837213
103162;61807662
99498;61819474
99502;61808047
103104;61808668
103078;61806751
103078;61807547
103091;61807499
99489;61836769
100974;61845853
99516;61829128
99449;61826864
99509;61826377
99427;61809609
103085;61836382
103162;61805726
99525;61836120
103057;61814870
99513;61819552
103102;61826189
98833;61814808
103162;61826820
103102;61826210
99854;61807644
103057;61842796
98839;61815016
98813;61839417
103106;61806735
99446;61807141
103076;61838153
99851;61807142
99284;61838607
103096;61840641
99504;61828607
103106;61843973
99529;61846097
98939;61810356
99503;61807646
99472;61815547
98833;61827244
99465;61843203
99853;61837261
103102;61826295
103062;61814978
103078;61808594
99294;61807813
103087;61840425
103078;61808407
99513;61807584
99910;61841894
100974;61842785
103101;61833300
98799;61808592
99495;61805943
103057;61837060
98986;61836976
103078;61809537
100974;61845558
103081;61825454
98810;61817220
103089;61840274
99489;61827628
98808;61843244
99516;61806826
100974;61837227
103061;61841894
98808;61807347
100974;61838300
100974;61808616
100974;61836217
103101;61828555
103078;61807561
99526;61812306
103078;61827232
99502;61819870
103101;61808263
103079;61834331
99442;61806751
98798;61807343
